Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count
3000,2.1857099533081055,6,6,626,10249,320.0,104.33333333333333,2614.0,1708.1666666666667,4975.500058249047,5.4902069608265345,0.1987009048461914,0.25991928833569544,0.9258899688720703,4.506111145019531e-05,0.43714199066162107,0.24610166055363022,0.3746516227722168,0.32126075590836395,2.7451034804132672,2.7451034804132672,54.0,2614.0,906.25,926.8608422159895,859071.0208333334,0,0,0
3000,0.8954348564147949,6,9,677,10360,383.0,112.83333333333333,2614.0,1151.111111111111,12325.854774283322,16.75163736651715,0.06395963260105678,0.1169624382340919,0.3045380115509033,0.0,0.17908697128295897,0.23328783558993033,0.07956486940383911,0.1292527922609165,6.7006549466068615,10.05098241991029,54.0,2614.0,735.8,761.2055526159365,579433.8933333333,0,2,0
3000,0.9398469924926758,4,4,549,10090,375.0,137.25,9014.0,2522.5,11319.927695659366,8.512023833562827,0.13426385607038224,0.14236253351448153,0.3135089874267578,0.0,0.3132823308308919,0.2734836953988272,0.20800065994262695,0.14708383087868612,4.256011916781413,4.256011916781413,54.0,9014.0,1329.875,2919.162484236703,8521509.609375,0,2,0
3000,3.724187135696411,15,19,1920,30622,441.0,128.0,5174.0,1611.6842105263158,8738.01417981504,9.129509007243296,0.11285415562716397,0.2785562082425772,1.5565440654754639,0.0,0.26601336683545795,0.40962388962425694,0.19042117065853542,0.3602956529850703,4.027724562019102,5.101784445224196,54.0,5174.0,957.1176470588235,1237.6803674784223,1531852.6920415224,0,2,0
3000,3.453387975692749,16,22,2403,40646,459.0,150.1875,6454.0,1847.5454545454545,12465.729394729933,11.003686891675473,0.09333481015385808,0.205613660788897,1.043121099472046,0.0,0.23022586504618328,0.32805465954531593,0.1495514710744222,0.3127812272853255,4.633131322810725,6.370555568864748,54.0,6454.0,1132.8684210526317,1428.1778632238947,2039692.0090027698,0,2,0
3000,3.433393955230713,9,11,1213,20330,403.0,134.77777777777777,5174.0,1848.1818181818182,6274.549405313548,5.825139864748222,0.1807049450121428,0.30288190418984534,1.010694980621338,0.0,0.4291742444038391,0.39327647349810757,0.20963668823242188,0.38851096785147954,2.6213129391367,3.2038269256115224,54.0,5174.0,1077.15,1523.986721562888,2322535.5275,0,3,0
3000,3.2683868408203125,9,8,1174,10316,374.0,130.44444444444446,2614.0,1289.5,3515.495735234387,5.2013426892066645,0.20427417755126953,0.2530792087379494,0.847869873046875,0.0,0.40854835510253906,0.31248163509359866,0.42085412570408415,0.2585424197893353,2.75365201193294,2.447690677273725,54.0,2614.0,675.8823529411765,856.2408871032759,733148.4567474048,0,2,0
3000,3.4007768630981445,12,19,1761,30624,429.0,146.75,7734.0,1611.7894736842106,9522.824138040305,9.115564251327758,0.11335922876993815,0.1803020694312245,0.8084859848022461,0.0,0.30916153300892224,0.2554991446820953,0.17476371924082437,0.20830546231712077,3.5286055166430033,5.586958734684755,54.0,7734.0,1044.6774193548388,1527.3875944512781,2332912.8636836624,0,2,0
3000,2.608586072921753,15,21,1993,30732,443.0,132.86666666666667,3894.0,1463.4285714285713,12545.11029545837,13.800579698594387,0.07453103065490722,0.12055470149962491,0.34560394287109375,0.0,0.18632757663726807,0.15886741472529647,0.11460809707641602,0.16770721566448188,5.750241541080994,8.050338157513393,54.0,3894.0,909.0277777777778,1059.2157341404145,1121937.971450617,0,2,0
3000,2.932750940322876,9,13,1179,20438,400.0,131.0,6454.0,1572.1538461538462,7370.895258367938,7.501489368741947,0.13965480668204172,0.25237464707896234,1.002715826034546,0.0,0.3665938675403595,0.3448014585870026,0.1344814896583557,0.2553558134669117,3.0687911053944323,4.432698263347514,54.0,6454.0,982.5909090909091,1432.3137879634066,2051522.7871900827,0,3,0
